timestamp,pleth
2020-01-01 12:00:01.864,1724
2020-01-01 12:00:01.872,1700
2020-01-01 12:00:01.880,1678
2020-01-01 12:00:01.888,1658
2020-01-01 12:00:01.896,1639
2020-01-01 12:00:01.904,1619
2020-01-01 12:00:01.912,1599
2020-01-01 12:00:01.920,1578
2020-01-01 12:00:01.928,1555
2020-01-01 12:00:01.936,1528
2020-01-01 12:00:01.944,1504
2020-01-01 12:00:01.952,1481
2020-01-01 12:00:01.960,1456
2020-01-01 12:00:01.968,1429
2020-01-01 12:00:01.976,1402
2020-01-01 12:00:01.984,1374
2020-01-01 12:00:01.992,1347
2020-01-01 12:00:02.000,1322
2020-01-01 12:00:02.008,1298
2020-01-01 12:00:02.016,1275
2020-01-01 12:00:02.024,1252
2020-01-01 12:00:02.032,1229
2020-01-01 12:00:02.040,1207
2020-01-01 12:00:02.048,1191
2020-01-01 12:00:02.056,1178
2020-01-01 12:00:02.064,1161
2020-01-01 12:00:02.072,1141
2020-01-01 12:00:02.080,1121
2020-01-01 12:00:02.088,1102
2020-01-01 12:00:02.096,1085
2020-01-01 12:00:02.104,1068
2020-01-01 12:00:02.112,1054
2020-01-01 12:00:02.120,1042
2020-01-01 12:00:02.128,1030
2020-01-01 12:00:02.136,1017
2020-01-01 12:00:02.144,1008
2020-01-01 12:00:02.152,1002
2020-01-01 12:00:02.160,992
2020-01-01 12:00:02.168,981
2020-01-01 12:00:02.176,969
2020-01-01 12:00:02.184,959
2020-01-01 12:00:02.192,951
2020-01-01 12:00:02.200,943
2020-01-01 12:00:02.208,934
2020-01-01 12:00:02.216,924
2020-01-01 12:00:02.224,914
2020-01-01 12:00:02.232,903
2020-01-01 12:00:02.240,892
2020-01-01 12:00:02.248,885
2020-01-01 12:00:02.256,883
2020-01-01 12:00:02.264,880
2020-01-01 12:00:02.272,874
2020-01-01 12:00:02.280,867
2020-01-01 12:00:02.288,861
2020-01-01 12:00:02.296,854
2020-01-01 12:00:02.304,845
2020-01-01 12:00:02.312,838
2020-01-01 12:00:02.320,832
2020-01-01 12:00:02.328,827
2020-01-01 12:00:02.336,823
2020-01-01 12:00:02.344,823
2020-01-01 12:00:02.352,825
2020-01-01 12:00:02.360,823
2020-01-01 12:00:02.368,820
2020-01-01 12:00:02.376,816
2020-01-01 12:00:02.384,812
2020-01-01 12:00:02.392,807
2020-01-01 12:00:02.400,802
2020-01-01 12:00:02.408,797
2020-01-01 12:00:02.416,793
2020-01-01 12:00:02.424,789
2020-01-01 12:00:02.432,785
2020-01-01 12:00:02.440,781
2020-01-01 12:00:02.448,782
2020-01-01 12:00:02.456,784
2020-01-01 12:00:02.464,782
2020-01-01 12:00:02.472,779
2020-01-01 12:00:02.480,775
2020-01-01 12:00:02.488,771
2020-01-01 12:00:02.496,769
2020-01-01 12:00:02.504,768
2020-01-01 12:00:02.512,767
2020-01-01 12:00:02.520,767
2020-01-01 12:00:02.528,767
2020-01-01 12:00:02.536,767
2020-01-01 12:00:02.544,771
2020-01-01 12:00:02.552,777
2020-01-01 12:00:02.560,780
2020-01-01 12:00:02.568,781
2020-01-01 12:00:02.576,782
2020-01-01 12:00:02.584,783
2020-01-01 12:00:02.592,850
2020-01-01 12:00:02.600,950
2020-01-01 12:00:02.608,1001
2020-01-01 12:00:02.616,1027
2020-01-01 12:00:02.624,1042
2020-01-01 12:00:02.632,1051
2020-01-01 12:00:02.640,1055
2020-01-01 12:00:02.648,1061
2020-01-01 12:00:02.656,1069
2020-01-01 12:00:02.664,1076
2020-01-01 12:00:02.672,1086
2020-01-01 12:00:02.680,1104
2020-01-01 12:00:02.688,1138
2020-01-01 12:00:02.696,1194
2020-01-01 12:00:02.704,1276
